Sample,LC_prechill,LC_100,LC_600,LC_prebloom,HC_prechill,HC_100,HC_600,HC_1000,HC_prebloom,Endo,Eco,preBloom
1,0,0,0,0,1,0,0,0,0,1,0,0
11,1,0,0,0,0,0,0,0,0,1,0,0
12,1,0,0,0,0,0,0,0,0,1,0,0
13,0,0,0,0,1,0,0,0,0,1,0,0
14,1,0,0,0,0,0,0,0,0,1,0,0
15,1,0,0,0,0,0,0,0,0,1,0,0
16,0,0,0,0,1,0,0,0,0,1,0,0
18,0,0,0,0,0,1,0,0,0,1,0,0
19,0,0,0,0,0,1,0,0,0,1,0,0
2,0,0,0,0,1,0,0,0,0,1,0,0
20,0,0,0,0,0,1,0,0,0,1,0,0
21,0,1,0,0,0,0,0,0,0,1,0,0
22,0,1,0,0,0,0,0,0,0,1,0,0
23,0,1,0,0,0,0,0,0,0,1,0,0
24,0,1,0,0,0,0,0,0,0,1,0,0
25,0,0,0,0,0,1,0,0,0,1,0,0
26,0,0,0,0,0,1,0,0,0,1,0,0
27,0,0,0,0,0,1,0,0,0,1,0,0
28,0,1,0,0,0,0,0,0,0,1,0,0
29,0,1,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,1,0,0,0,0,1,0,0
30,0,1,0,0,0,0,0,0,0,1,0,0
31,0,1,0,0,0,0,0,0,0,1,0,0
32,0,0,1,0,0,0,0,0,0,0,1,0
33,0,0,1,0,0,0,0,0,0,0,1,0
34,0,0,1,0,0,0,0,0,0,0,1,0
35,0,0,1,0,0,0,0,0,0,0,1,0
36,0,0,0,0,0,0,1,0,0,1,0,0
37,0,0,0,0,0,0,1,0,0,1,0,0
38,0,0,0,0,0,0,1,0,0,1,0,0
39,0,0,0,0,0,0,1,0,0,1,0,0
4,0,0,0,0,1,0,0,0,0,1,0,0
40,0,0,0,0,0,0,1,0,0,1,0,0
42,0,0,0,0,0,0,1,0,0,1,0,0
43,0,0,0,0,0,0,1,0,0,1,0,0
44,0,0,1,0,0,0,0,0,0,0,1,0
45,0,0,1,0,0,0,0,0,0,0,1,0
46,0,0,1,0,0,0,0,0,0,0,1,0
47,0,0,1,0,0,0,0,0,0,0,1,0
48,0,0,0,1,0,0,0,0,0,0,0,1
49,0,0,0,1,0,0,0,0,0,0,0,1
5,1,0,0,0,0,0,0,0,0,1,0,0
50,0,0,0,1,0,0,0,0,0,0,0,1
51,0,0,0,1,0,0,0,0,0,0,0,1
52,0,0,0,0,0,0,0,1,0,1,0,0
53,0,0,0,0,0,0,0,1,0,1,0,0
54,0,0,0,0,0,0,0,1,0,1,0,0
55,0,0,0,0,0,0,0,1,0,1,0,0
56,0,0,0,0,0,0,0,1,0,1,0,0
57,0,0,0,0,0,0,0,1,0,1,0,0
58,0,0,0,0,0,0,0,1,0,1,0,0
59,0,0,0,0,0,0,0,1,0,1,0,0
6,1,0,0,0,0,0,0,0,0,1,0,0
60,0,0,0,1,0,0,0,0,0,0,0,1
61,0,0,0,1,0,0,0,0,0,0,0,1
62,0,0,0,1,0,0,0,0,0,0,0,1
63,0,0,0,1,0,0,0,0,0,0,0,1
64,0,0,0,0,0,0,0,0,1,0,0,1
65,0,0,0,0,0,0,0,0,1,0,0,1
66,0,0,0,0,0,0,0,0,1,0,0,1
67,0,0,0,0,0,0,0,0,1,0,0,1
68,0,0,0,0,0,0,0,0,1,0,0,1
69,0,0,0,0,0,0,0,0,1,0,0,1
7,0,0,0,0,1,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,1,0,0,1
71,0,0,0,0,0,0,0,0,1,0,0,1
72,0,0,0,0,0,1,0,0,0,1,0,0
8,1,0,0,0,0,0,0,0,0,1,0,0
9,1,0,0,0,0,0,0,0,0,1,0,0