Sample,LC_prechill,LC_100,LC_600,LC_prebloom,HC_prechill,HC_100,HC_600,HC_1000,HC_prebloom,Endo,Eco,pre-Bloom,Sepal,Petal,Flower
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
19,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
26,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
27,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
28,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
31,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
32,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
33,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
37,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
38,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
39,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
42,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
43,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
44,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
48,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
49,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
51,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
52,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
53,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
54,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
55,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
57,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
58,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
59,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
61,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
62,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
63,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
64,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
65,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
66,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
67,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
68,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
69,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
70,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
71,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
72,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10_0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10-100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10-400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10-800,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10-C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10-D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11-C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11-D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12-C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12-D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13-C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13-D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14-100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14-400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14-800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15-100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15-400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15-800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16-100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16-400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16-800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1-C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1-D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2_0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2-100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2-400,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2-C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2-D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3-100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3-400,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3-800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3-C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3-D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4_0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4-100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4-400,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4-800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4-C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4-D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5_0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5-100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5-400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5-800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5-C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5-D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8_0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8-100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8-400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8-800,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8-C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8-D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9_0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9-100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9-400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9-800,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9-C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9-D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0